,date,day,personnel*,personnel,POW
0,2022-02-25,2,about,2800,0
1,2022-02-26,3,about,1500,0
2,2022-02-27,4,about,200,0
3,2022-02-28,5,about,800,0
4,2022-03-01,6,about,410,200
5,2022-03-02,7,about,130,0
6,2022-03-03,8,about,3160,0
7,2022-03-04,9,about,166,0
8,2022-03-05,10,about,834,16
9,2022-03-06,11,about,1000,16
10,2022-03-07,12,more,0,27
11,2022-03-08,13,about,1000,25
12,2022-03-09,14,about,0,76
13,2022-03-10,15,more,0,11
14,2022-03-11,16,more,0,18
15,2022-03-12,17,more,0,0
16,2022-03-13,18,more,0,0
17,2022-03-14,19,more,0,0
18,2022-03-15,20,about,1500,0
19,2022-03-16,21,about,300,0
20,2022-03-17,22,about,200,16
21,2022-03-18,23,about,200,0
22,2022-03-19,24,about,200,0
23,2022-03-20,25,about,300,0
24,2022-03-21,26,about,300,0
25,2022-03-22,27,about,300,6
26,2022-03-23,28,about,300,1
27,2022-03-24,29,about,200,0
28,2022-03-25,30,about,300,0
29,2022-03-26,31,about,300,0
30,2022-03-27,32,about,200,9
31,2022-03-28,33,about,400,0
32,2022-03-29,34,about,200,9
33,2022-03-30,35,about,100,0
34,2022-03-31,36,about,200,29
35,2022-04-01,37,about,200,0
36,2022-04-02,38,about,0,1
37,2022-04-03,39,about,300,0
38,2022-04-04,40,about,300,0
39,2022-04-05,41,about,200,7
40,2022-04-06,42,about,100,0
41,2022-04-07,43,about,300,0
42,2022-04-08,44,about,100,0
43,2022-04-09,45,about,100,0
44,2022-04-10,46,about,200,0
45,2022-04-11,47,about,200,0
46,2022-04-12,48,about,100,10
47,2022-04-13,49,about,200,0
48,2022-04-14,50,about,100,0
49,2022-04-15,51,about,100,0
50,2022-04-16,52,about,100,0
51,2022-04-17,53,about,200,0
52,2022-04-18,54,about,300,0
53,2022-04-19,55,about,200,12
54,2022-04-20,56,about,100,0
55,2022-04-21,57,about,100,0
56,2022-04-22,58,about,200,0
57,2022-04-23,59,about,400,0
58,2022-04-24,60,about,200,0
59,2022-04-25,61,about,100,0
60,2022-04-26,62,about,200,0
61,2022-04-27,63,about,300,7
62,2022-04-28,64,about,400,0
63,2022-04-29,65,about,200,0
64,2022-04-30,66,about,200,0
65,2022-05-01,67,about,300,0
66,2022-05-02,68,about,300,0
67,2022-05-03,69,about,400,0
68,2022-05-04,70,about,300,0
